"date","brent","rub","month"
2013-06-26,101.89,0.03043,"2013-06"
2013-06-27,103.34,0.0305,"2013-06"
2013-06-28,103.44,0.03059,"2013-06"
2013-06-30,102.15,0.03042,"2013-06"
2013-07-01,103.21,0.03048,"2013-07"
2013-07-02,103.58,0.03033,"2013-07"
2013-07-03,105.48,0.03016,"2013-07"
2013-07-04,105.44,0.03013,"2013-07"
2013-07-05,107.12,0.03011,"2013-07"
2013-07-07,107.3,0.02996,"2013-07"
2013-07-08,107.32,0.03008,"2013-07"
2013-07-09,107.48,0.03032,"2013-07"
2013-07-10,107.9,0.03039,"2013-07"
2013-07-11,108.06,0.03073,"2013-07"
2013-07-12,108.2,0.03075,"2013-07"
2013-07-15,108.27,0.03069,"2013-07"
2013-07-16,108.68,0.03081,"2013-07"
2013-07-17,108.74,0.0309,"2013-07"
2013-07-18,108.87,0.03092,"2013-07"
2013-07-19,109.18,0.0309,"2013-07"
2013-07-21,108.49,0.03088,"2013-07"
2013-07-22,108.68,0.03099,"2013-07"
2013-07-23,108.63,0.03092,"2013-07"
2013-07-24,108.6,0.03092,"2013-07"
2013-07-25,107.87,0.03083,"2013-07"
2013-07-26,107.79,0.03072,"2013-07"
2013-07-28,107.4,0.03045,"2013-07"
2013-07-29,107.89,0.03054,"2013-07"
2013-07-30,107.56,0.03042,"2013-07"
2013-07-31,107.95,0.03032,"2013-07"
2013-08-01,108.74,0.03033,"2013-08"
2013-08-02,109.17,0.03047,"2013-08"
2013-08-05,108.56,0.03042,"2013-08"
2013-08-06,108.27,0.03039,"2013-08"
2013-08-07,107.05,0.03037,"2013-08"
2013-08-08,106.57,0.03043,"2013-08"
2013-08-09,106.95,0.03044,"2013-08"
2013-08-11,106.88,0.03036,"2013-08"
2013-08-12,107.9,0.03042,"2013-08"
2013-08-13,108.7,0.03029,"2013-08"
2013-08-14,108.98,0.03026,"2013-08"
2013-08-15,110.05,0.03037,"2013-08"
2013-08-16,110.7,0.03042,"2013-08"
2013-08-19,111,0.03035,"2013-08"
2013-08-20,110.73,0.03032,"2013-08"
2013-08-21,110.28,0.03035,"2013-08"
2013-08-22,110.15,0.03023,"2013-08"
2013-08-23,111.23,0.03028,"2013-08"
2013-08-26,111.35,0.03032,"2013-08"
2013-08-27,115.29,0.03054,"2013-08"
2013-08-28,117.34,0.03012,"2013-08"
2013-08-29,117.04,0.03012,"2013-08"
2013-08-30,115.53,0.03007,"2013-08"
2013-09-02,112.82,0.03003,"2013-09"
2013-09-03,114.05,0.02994,"2013-09"
2013-09-04,114.15,0.02997,"2013-09"
2013-09-05,113.9,0.02997,"2013-09"
2013-09-06,114.85,0.03001,"2013-09"
2013-09-09,114.44,0.03016,"2013-09"
2013-09-10,112.17,0.03032,"2013-09"
2013-09-11,111.18,0.0305,"2013-09"
2013-09-12,111.96,0.03062,"2013-09"
2013-09-13,111.88,0.03078,"2013-09"
2013-09-16,111.49,0.03101,"2013-09"
2013-09-17,110,0.03101,"2013-09"
2013-09-18,111.06,0.0314,"2013-09"
2013-09-19,111.26,0.03168,"2013-09"
2013-09-20,109.67,0.03154,"2013-09"
2013-09-23,109.45,0.0315,"2013-09"
2013-09-24,108.9,0.03141,"2013-09"
2013-09-25,110.09,0.03134,"2013-09"
2013-09-26,109.26,0.03116,"2013-09"
2013-09-27,109.67,0.03106,"2013-09"
2013-09-30,108.68,0.0309,"2013-09"
2013-10-01,107.49,0.031,"2013-10"
2013-10-02,108.57,0.03106,"2013-10"
2013-10-03,108.91,0.03119,"2013-10"
2013-10-04,108.85,0.03113,"2013-10"
2013-10-07,109.3,0.03104,"2013-10"
2013-10-08,109.97,0.03102,"2013-10"
2013-10-09,109.47,0.03091,"2013-10"
2013-10-10,111.15,0.03108,"2013-10"
2013-10-11,110.98,0.03103,"2013-10"
2013-10-14,110.59,0.03096,"2013-10"
2013-10-15,110.48,0.03098,"2013-10"
2013-10-16,111.3,0.03114,"2013-10"
2013-10-17,110.66,0.03135,"2013-10"
2013-10-18,110.24,0.03139,"2013-10"
2013-10-20,110.05,0.03133,"2013-10"
2013-10-21,110.19,0.03134,"2013-10"
2013-10-22,110.94,0.03153,"2013-10"
2013-10-23,110.06,0.03154,"2013-10"
2013-10-24,108.26,0.03156,"2013-10"
2013-10-25,107.39,0.03155,"2013-10"
2013-10-28,109.68,0.0314,"2013-10"
2013-10-29,109.46,0.0313,"2013-10"
2013-10-30,110.16,0.03129,"2013-10"
2013-10-31,109.87,0.03129,"2013-10"
2013-11-01,109.17,0.03113,"2013-11"
2013-11-04,106.53,0.0309,"2013-11"
2013-11-05,106.4,0.0309,"2013-11"
2013-11-06,106.34,0.03087,"2013-11"
2013-11-07,105.32,0.03093,"2013-11"
2013-11-08,105.3,0.03081,"2013-11"
2013-11-11,106.34,0.0306,"2013-11"
2013-11-12,107.1,0.03056,"2013-11"
2013-11-13,107.18,0.0305,"2013-11"
2013-11-14,108.95,0.0306,"2013-11"
2013-11-15,108.65,0.03067,"2013-11"
2013-11-18,108.73,0.03074,"2013-11"
2013-11-19,108.63,0.03068,"2013-11"
2013-11-20,108.38,0.03054,"2013-11"
2013-11-21,110.25,0.03038,"2013-11"
2013-11-22,111.4,0.0305,"2013-11"
2013-11-25,111.66,0.03049,"2013-11"
2013-11-26,111.49,0.03033,"2013-11"
2013-11-27,111.65,0.03036,"2013-11"
2013-11-28,111.55,0.03015,"2013-11"
2013-11-29,111.5,0.03018,"2013-11"
2013-12-02,111.93,0.03016,"2013-12"
2013-12-03,112.44,0.03006,"2013-12"
2013-12-04,112.5,0.03013,"2013-12"
2013-12-05,111.76,0.0303,"2013-12"
2013-12-06,111.64,0.03053,"2013-12"
